2026/09/25 09:30:57.175, 731 MiB, 67 %, 79, 2460 MHz, 64.80 W, 0x0000000000000000
2026/09/25 09:30:59.186, 731 MiB, 67 %, 79, 2460 MHz, 64.86 W, 0x0000000000000000
2026/09/25 09:31:01.193, 731 MiB, 69 %, 79, 2445 MHz, 65.40 W, 0x0000000000000004
2026/09/25 09:31:03.202, 731 MiB, 69 %, 78, 2460 MHz, 65.33 W, 0x0000000000000000
2026/09/25 09:31:05.203, 731 MiB, 68 %, 78, 2460 MHz, 65.64 W, 0x0000000000000000
2026/09/25 09:31:07.216, 731 MiB, 70 %, 79, 2460 MHz, 65.08 W, 0x0000000000000004
2026/09/25 09:31:09.226, 731 MiB, 72 %, 79, 2460 MHz, 65.42 W, 0x0000000000000004
2026/09/25 09:31:11.240, 731 MiB, 70 %, 79, 2460 MHz, 65.92 W, 0x0000000000000000
2026/09/25 09:31:13.248, 731 MiB, 70 %, 79, 2460 MHz, 65.32 W, 0x0000000000000000
2026/09/25 09:31:15.253, 731 MiB, 69 %, 78, 2460 MHz, 64.46 W, 0x0000000000000000
2026/09/25 09:31:17.257, 731 MiB, 71 %, 79, 2460 MHz, 65.19 W, 0x0000000000000004
2026/09/25 09:31:19.270, 731 MiB, 70 %, 79, 2460 MHz, 64.62 W, 0x0000000000000000
2026/09/25 09:31:21.271, 731 MiB, 67 %, 79, 2460 MHz, 64.60 W, 0x0000000000000000
2026/09/25 09:31:23.285, 731 MiB, 68 %, 78, 2460 MHz, 64.79 W, 0x0000000000000004
2026/09/25 09:31:25.290, 731 MiB, 68 %, 79, 2460 MHz, 64.26 W, 0x0000000000000004
2026/09/25 09:31:27.298, 731 MiB, 68 %, 79, 2460 MHz, 64.50 W, 0x0000000000000004
2026/09/25 09:31:29.310, 731 MiB, 67 %, 78, 2460 MHz, 64.89 W, 0x0000000000000000
2026/09/25 09:31:31.318, 731 MiB, 68 %, 79, 2460 MHz, 64.92 W, 0x0000000000000000
2026/09/25 09:31:33.325, 731 MiB, 70 %, 79, 2460 MHz, 64.11 W, 0x0000000000000004
2026/09/25 09:31:35.326, 731 MiB, 72 %, 78, 2445 MHz, 65.45 W, 0x0000000000000004
2026/09/25 09:31:37.345, 731 MiB, 69 %, 79, 2460 MHz, 64.85 W, 0x0000000000000004
2026/09/25 09:31:39.350, 731 MiB, 67 %, 79, 2460 MHz, 64.83 W, 0x0000000000000000
2026/09/25 09:31:41.355, 731 MiB, 69 %, 79, 2460 MHz, 63.78 W, 0x0000000000000000
2026/09/25 09:31:43.362, 731 MiB, 66 %, 79, 2460 MHz, 63.65 W, 0x0000000000000000
2026/09/25 09:31:45.378, 731 MiB, 67 %, 77, 2460 MHz, 63.82 W, 0x0000000000000000
2026/09/25 09:31:47.384, 731 MiB, 67 %, 78, 2460 MHz, 65.07 W, 0x0000000000000004
2026/09/25 09:31:49.396, 731 MiB, 69 %, 78, 2460 MHz, 65.16 W, 0x0000000000000004
2026/09/25 09:31:51.397, 731 MiB, 65 %, 79, 2460 MHz, 66.42 W, 0x0000000000000004
2026/09/25 09:31:53.399, 731 MiB, 67 %, 79, 2430 MHz, 66.62 W, 0x0000000000000004
2026/09/25 09:31:55.406, 731 MiB, 67 %, 79, 2430 MHz, 67.22 W, 0x0000000000000004
2026/09/25 09:31:57.416, 731 MiB, 68 %, 78, 2430 MHz, 65.32 W, 0x0000000000000000
2026/09/25 09:31:59.421, 731 MiB, 51 %, 75, 2460 MHz, 48.60 W, 0x0000000000000000
2026/09/25 09:32:01.422, 731 MiB, 48 %, 75, 2460 MHz, 48.91 W, 0x0000000000000000
2026/09/25 09:32:03.432, 731 MiB, 46 %, 73, 2460 MHz, 46.68 W, 0x0000000000000000
2026/09/25 09:32:05.445, 731 MiB, 40 %, 73, 2460 MHz, 46.97 W, 0x0000000000000000
2026/09/25 09:32:07.457, 731 MiB, 52 %, 74, 2460 MHz, 46.54 W, 0x0000000000000000
2026/09/25 09:32:09.459, 731 MiB, 43 %, 73, 2460 MHz, 46.30 W, 0x0000000000000000
2026/09/25 09:32:11.462, 731 MiB, 44 %, 73, 2460 MHz, 46.71 W, 0x0000000000000000
2026/09/25 09:32:13.468, 731 MiB, 50 %, 74, 2460 MHz, 47.50 W, 0x0000000000000000
2026/09/25 09:32:15.471, 731 MiB, 48 %, 71, 2460 MHz, 48.27 W, 0x0000000000000000
2026/09/25 09:32:17.484, 731 MiB, 40 %, 73, 2460 MHz, 46.65 W, 0x0000000000000000
2026/09/25 09:32:19.487, 731 MiB, 45 %, 72, 2460 MHz, 45.90 W, 0x0000000000000000
2026/09/25 09:32:21.492, 731 MiB, 44 %, 71, 2460 MHz, 45.67 W, 0x0000000000000000
2026/09/25 09:32:23.495, 731 MiB, 45 %, 72, 2460 MHz, 46.73 W, 0x0000000000000000
2026/09/25 09:32:25.505, 731 MiB, 49 %, 72, 2460 MHz, 44.21 W, 0x0000000000000000
2026/09/25 09:32:27.519, 731 MiB, 43 %, 71, 2460 MHz, 46.24 W, 0x0000000000000000
2026/09/25 09:32:29.521, 731 MiB, 50 %, 71, 2460 MHz, 44.58 W, 0x0000000000000000
2026/09/25 09:32:31.534, 731 MiB, 46 %, 70, 2460 MHz, 45.63 W, 0x0000000000000000
2026/09/25 09:32:33.534, 731 MiB, 43 %, 71, 2460 MHz, 45.53 W, 0x0000000000000000
2026/09/25 09:32:35.539, 731 MiB, 45 %, 71, 2460 MHz, 46.10 W, 0x0000000000000000
2026/09/25 09:32:37.544, 731 MiB, 39 %, 70, 2460 MHz, 45.36 W, 0x0000000000000000
2026/09/25 09:32:39.547, 731 MiB, 38 %, 71, 2460 MHz, 45.60 W, 0x0000000000000000
2026/09/25 09:32:41.561, 731 MiB, 41 %, 69, 2460 MHz, 44.95 W, 0x0000000000000000
2026/09/25 09:32:43.562, 731 MiB, 42 %, 70, 2460 MHz, 44.75 W, 0x0000000000000000
2026/09/25 09:32:45.567, 731 MiB, 49 %, 70, 2460 MHz, 45.61 W, 0x0000000000000000
2026/09/25 09:32:47.570, 731 MiB, 50 %, 71, 2460 MHz, 46.43 W, 0x0000000000000000
2026/09/25 09:32:49.572, 731 MiB, 44 %, 70, 2460 MHz, 44.52 W, 0x0000000000000000
2026/09/25 09:32:51.578, 731 MiB, 48 %, 69, 2460 MHz, 45.21 W, 0x0000000000000000
2026/09/25 09:32:53.585, 731 MiB, 40 %, 69, 2460 MHz, 45.87 W, 0x0000000000000000
2026/09/25 09:32:55.594, 731 MiB, 45 %, 69, 2460 MHz, 46.13 W, 0x0000000000000000
2026/09/25 09:32:57.600, 731 MiB, 49 %, 70, 2460 MHz, 46.21 W, 0x0000000000000000
2026/09/25 09:32:59.604, 731 MiB, 44 %, 68, 2460 MHz, 42.47 W, 0x0000000000000000
2026/09/25 09:33:01.618, 731 MiB, 46 %, 68, 2460 MHz, 42.46 W, 0x0000000000000000
2026/09/25 09:33:03.619, 731 MiB, 35 %, 69, 2460 MHz, 42.73 W, 0x0000000000000000
2026/09/25 09:33:05.622, 731 MiB, 48 %, 68, 2460 MHz, 41.48 W, 0x0000000000000000
2026/09/25 09:33:07.627, 731 MiB, 52 %, 68, 2460 MHz, 41.34 W, 0x0000000000000000
2026/09/25 09:33:09.632, 731 MiB, 47 %, 68, 2460 MHz, 42.24 W, 0x0000000000000000
2026/09/25 09:33:11.642, 731 MiB, 48 %, 68, 2460 MHz, 41.65 W, 0x0000000000000000
2026/09/25 09:33:13.645, 731 MiB, 42 %, 68, 2460 MHz, 41.10 W, 0x0000000000000000
2026/09/25 09:33:15.648, 731 MiB, 41 %, 67, 2460 MHz, 40.62 W, 0x0000000000000000
2026/09/25 09:33:17.651, 731 MiB, 45 %, 67, 2460 MHz, 41.28 W, 0x0000000000000000
2026/09/25 09:33:19.660, 731 MiB, 47 %, 68, 2460 MHz, 42.74 W, 0x0000000000000000
2026/09/25 09:33:21.670, 731 MiB, 48 %, 67, 2460 MHz, 41.84 W, 0x0000000000000000
2026/09/25 09:33:23.675, 731 MiB, 40 %, 67, 2460 MHz, 39.96 W, 0x0000000000000000
2026/09/25 09:33:25.681, 731 MiB, 47 %, 67, 2460 MHz, 38.88 W, 0x0000000000000000
2026/09/25 09:33:27.691, 731 MiB, 37 %, 66, 2460 MHz, 38.33 W, 0x0000000000000000
2026/09/25 09:33:29.703, 731 MiB, 39 %, 67, 2460 MHz, 39.52 W, 0x0000000000000000
2026/09/25 09:33:31.715, 731 MiB, 37 %, 67, 2430 MHz, 41.00 W, 0x0000000000000001
2026/09/25 09:33:33.717, 731 MiB, 39 %, 66, 2415 MHz, 40.21 W, 0x0000000000000001
2026/09/25 09:33:35.725, 731 MiB, 39 %, 66, 2400 MHz, 38.53 W, 0x0000000000000001
2026/09/25 09:33:37.737, 731 MiB, 37 %, 64, 2205 MHz, 33.03 W, 0x0000000000000001
2026/09/25 09:33:39.744, 731 MiB, 39 %, 63, 2205 MHz, 31.13 W, 0x0000000000000001
2026/09/25 09:33:41.752, 731 MiB, 38 %, 63, 2175 MHz, 30.84 W, 0x0000000000000001
2026/09/25 09:33:43.761, 731 MiB, 34 %, 64, 2205 MHz, 32.21 W, 0x0000000000000001
2026/09/25 09:33:45.765, 731 MiB, 42 %, 63, 2205 MHz, 31.32 W, 0x0000000000000001
2026/09/25 09:33:47.776, 731 MiB, 36 %, 63, 2130 MHz, 29.64 W, 0x0000000000000001
2026/09/25 09:33:49.779, 731 MiB, 40 %, 62, 2010 MHz, 28.55 W, 0x0000000000000001
2026/09/25 09:33:51.782, 731 MiB, 40 %, 62, 1965 MHz, 26.22 W, 0x0000000000000001
2026/09/25 09:33:53.791, 731 MiB, 41 %, 61, 1875 MHz, 25.05 W, 0x0000000000000001
2026/09/25 09:33:55.800, 731 MiB, 36 %, 60, 1875 MHz, 23.56 W, 0x0000000000000001
2026/09/25 09:33:57.809, 731 MiB, 33 %, 60, 1680 MHz, 21.18 W, 0x0000000000000001
2026/09/25 09:33:59.818, 731 MiB, 38 %, 59, 1515 MHz, 20.12 W, 0x0000000000000001
2026/09/25 09:34:01.829, 731 MiB, 35 %, 58, 1560 MHz, 19.49 W, 0x0000000000000001
2026/09/25 09:34:03.843, 731 MiB, 42 %, 58, 1545 MHz, 19.34 W, 0x0000000000000001
2026/09/25 09:34:05.845, 731 MiB, 35 %, 59, 1680 MHz, 20.78 W, 0x0000000000000001
2026/09/25 09:34:07.853, 731 MiB, 38 %, 58, 1515 MHz, 19.34 W, 0x0000000000000001
2026/09/25 09:34:09.861, 731 MiB, 40 %, 58, 1560 MHz, 19.41 W, 0x0000000000000001
2026/09/25 09:34:11.866, 731 MiB, 30 %, 57, 1440 MHz, 18.77 W, 0x0000000000000001
2026/09/25 09:34:13.872, 731 MiB, 39 %, 58, 1575 MHz, 19.70 W, 0x0000000000000001
2026/09/25 09:34:15.874, 731 MiB, 37 %, 57, 1560 MHz, 19.11 W, 0x0000000000000001
2026/09/25 09:34:17.886, 731 MiB, 37 %, 57, 1575 MHz, 19.67 W, 0x0000000000000001
2026/09/25 09:34:19.894, 731 MiB, 40 %, 57, 1485 MHz, 18.53 W, 0x0000000000000001
2026/09/25 09:34:21.898, 731 MiB, 39 %, 57, 1575 MHz, 19.69 W, 0x0000000000000001
2026/09/25 09:34:23.899, 731 MiB, 36 %, 57, 1545 MHz, 19.78 W, 0x0000000000000001
2026/09/25 09:34:25.906, 731 MiB, 37 %, 57, 1635 MHz, 19.99 W, 0x0000000000000001
2026/09/25 09:34:27.909, 731 MiB, 37 %, 56, 1530 MHz, 19.82 W, 0x0000000000000001
2026/09/25 09:34:29.920, 731 MiB, 33 %, 56, 1590 MHz, 19.68 W, 0x0000000000000001
2026/09/25 09:34:31.935, 731 MiB, 38 %, 56, 1590 MHz, 20.09 W, 0x0000000000000001
2026/09/25 09:34:33.938, 731 MiB, 36 %, 56, 1575 MHz, 19.68 W, 0x0000000000000001
2026/09/25 09:34:35.943, 731 MiB, 37 %, 56, 1560 MHz, 19.40 W, 0x0000000000000001
2026/09/25 09:34:37.947, 731 MiB, 40 %, 56, 1590 MHz, 19.83 W, 0x0000000000000001
2026/09/25 09:34:39.959, 731 MiB, 40 %, 56, 1575 MHz, 19.44 W, 0x0000000000000001
2026/09/25 09:34:41.963, 731 MiB, 37 %, 56, 1575 MHz, 19.49 W, 0x0000000000000001
2026/09/25 09:34:43.975, 731 MiB, 40 %, 56, 1605 MHz, 20.11 W, 0x0000000000000001
2026/09/25 09:34:45.979, 731 MiB, 35 %, 56, 1590 MHz, 19.84 W, 0x0000000000000001
2026/09/25 09:34:47.986, 731 MiB, 41 %, 55, 1545 MHz, 19.44 W, 0x0000000000000001
2026/09/25 09:34:49.996, 731 MiB, 37 %, 55, 1575 MHz, 19.61 W, 0x0000000000000001
2026/09/25 09:34:52.002, 731 MiB, 37 %, 55, 1575 MHz, 19.74 W, 0x0000000000000001
2026/09/25 09:34:54.014, 731 MiB, 36 %, 55, 1530 MHz, 19.45 W, 0x0000000000000001
2026/09/25 09:34:56.022, 731 MiB, 29 %, 55, 1575 MHz, 19.59 W, 0x0000000000000001
2026/09/25 09:34:58.024, 731 MiB, 37 %, 55, 1605 MHz, 19.60 W, 0x0000000000000001
2026/09/25 09:35:00.031, 731 MiB, 38 %, 55, 1515 MHz, 19.49 W, 0x0000000000000001
2026/09/25 09:35:02.043, 731 MiB, 36 %, 55, 1590 MHz, 19.79 W, 0x0000000000000001
2026/09/25 09:35:04.057, 731 MiB, 43 %, 55, 1530 MHz, 19.33 W, 0x0000000000000001
2026/09/25 09:35:06.058, 731 MiB, 39 %, 55, 1575 MHz, 19.40 W, 0x0000000000000001
2026/09/25 09:35:08.064, 731 MiB, 38 %, 55, 1515 MHz, 19.37 W, 0x0000000000000001
2026/09/25 09:35:10.066, 731 MiB, 35 %, 55, 1770 MHz, 20.28 W, 0x0000000000000001
2026/09/25 09:35:12.067, 731 MiB, 38 %, 55, 1545 MHz, 19.57 W, 0x0000000000000001
2026/09/25 09:35:14.077, 731 MiB, 33 %, 54, 1425 MHz, 17.88 W, 0x0000000000000001
2026/09/25 09:35:16.083, 731 MiB, 32 %, 54, 1425 MHz, 17.53 W, 0x0000000000000001
2026/09/25 09:35:18.092, 731 MiB, 35 %, 54, 1440 MHz, 17.35 W, 0x0000000000000001
