2026/09/24 11:06:49.503, 666 MiB, 68 %, 72, 2445 MHz, 65.79 W, 0x0000000000000004
2026/09/24 11:06:51.505, 922 MiB, 68 %, 72, 2460 MHz, 66.77 W, 0x0000000000000004
2026/09/24 11:06:53.510, 922 MiB, 68 %, 72, 2460 MHz, 66.51 W, 0x0000000000000000
2026/09/24 11:06:55.523, 922 MiB, 67 %, 73, 2460 MHz, 66.66 W, 0x0000000000000000
2026/09/24 11:06:57.531, 922 MiB, 66 %, 73, 2445 MHz, 67.10 W, 0x0000000000000004
2026/09/24 11:06:59.545, 922 MiB, 66 %, 74, 2460 MHz, 67.10 W, 0x0000000000000004
2026/09/24 11:07:01.560, 922 MiB, 67 %, 74, 2460 MHz, 66.56 W, 0x0000000000000004
2026/09/24 11:07:03.562, 922 MiB, 66 %, 74, 2445 MHz, 67.14 W, 0x0000000000000004
2026/09/24 11:07:05.566, 922 MiB, 51 %, 73, 2460 MHz, 61.89 W, 0x0000000000000000
2026/09/24 11:07:07.567, 922 MiB, 65 %, 75, 2460 MHz, 66.85 W, 0x0000000000000004
2026/09/24 11:07:09.573, 922 MiB, 65 %, 75, 2415 MHz, 66.86 W, 0x0000000000000004
2026/09/24 11:07:11.579, 922 MiB, 67 %, 75, 2445 MHz, 66.29 W, 0x0000000000000004
2026/09/24 11:07:13.584, 922 MiB, 66 %, 76, 2445 MHz, 66.85 W, 0x0000000000000000
2026/09/24 11:07:15.594, 922 MiB, 66 %, 76, 2445 MHz, 66.96 W, 0x0000000000000000
2026/09/24 11:07:17.599, 922 MiB, 66 %, 76, 2415 MHz, 65.25 W, 0x0000000000000004
2026/09/24 11:07:19.612, 922 MiB, 67 %, 76, 2445 MHz, 66.29 W, 0x0000000000000000
2026/09/24 11:07:21.624, 922 MiB, 67 %, 75, 2460 MHz, 66.50 W, 0x0000000000000004
2026/09/24 11:07:23.627, 922 MiB, 65 %, 76, 2445 MHz, 66.18 W, 0x0000000000000000
2026/09/24 11:07:25.633, 922 MiB, 66 %, 76, 2445 MHz, 66.76 W, 0x0000000000000004
2026/09/24 11:07:27.635, 922 MiB, 66 %, 76, 2430 MHz, 65.73 W, 0x0000000000000004
2026/09/24 11:07:29.651, 922 MiB, 67 %, 77, 2415 MHz, 64.14 W, 0x0000000000000004
