2026/09/25 10:25:40.649, 757 MiB, 65 %, 76, 2460 MHz, 61.10 W, 0x0000000000000004
2026/09/25 10:25:42.651, 757 MiB, 61 %, 75, 2460 MHz, 61.63 W, 0x0000000000000000
2026/09/25 10:25:44.659, 757 MiB, 68 %, 76, 2460 MHz, 64.11 W, 0x0000000000000000
2026/09/25 10:25:46.671, 757 MiB, 67 %, 76, 2460 MHz, 63.71 W, 0x0000000000000000
2026/09/25 10:25:48.676, 757 MiB, 69 %, 76, 2460 MHz, 63.55 W, 0x0000000000000004
2026/09/25 10:25:50.686, 757 MiB, 63 %, 77, 2460 MHz, 62.49 W, 0x0000000000000000
2026/09/25 10:25:52.688, 757 MiB, 69 %, 76, 2460 MHz, 64.18 W, 0x0000000000000000
2026/09/25 10:25:54.699, 757 MiB, 61 %, 75, 2400 MHz, 62.49 W, 0x0000000000000000
2026/09/25 10:25:56.708, 757 MiB, 69 %, 77, 2460 MHz, 64.69 W, 0x0000000000000000
2026/09/25 10:25:58.713, 757 MiB, 68 %, 76, 2460 MHz, 65.19 W, 0x0000000000000000
2026/09/25 10:26:00.716, 757 MiB, 69 %, 77, 2460 MHz, 65.43 W, 0x0000000000000000
2026/09/25 10:26:02.719, 757 MiB, 67 %, 77, 2460 MHz, 63.34 W, 0x0000000000000004
2026/09/25 10:26:04.722, 757 MiB, 68 %, 77, 2460 MHz, 62.32 W, 0x0000000000000000
2026/09/25 10:26:06.725, 757 MiB, 66 %, 77, 2460 MHz, 63.01 W, 0x0000000000000000
2026/09/25 10:26:08.738, 757 MiB, 63 %, 76, 2460 MHz, 63.10 W, 0x0000000000000000
2026/09/25 10:26:10.745, 757 MiB, 66 %, 77, 2460 MHz, 65.39 W, 0x0000000000000000
2026/09/25 10:26:12.758, 757 MiB, 68 %, 77, 2460 MHz, 65.22 W, 0x0000000000000000
2026/09/25 10:26:14.769, 757 MiB, 66 %, 78, 2445 MHz, 64.76 W, 0x0000000000000000
2026/09/25 10:26:16.772, 757 MiB, 67 %, 77, 2460 MHz, 64.23 W, 0x0000000000000000
2026/09/25 10:26:18.773, 757 MiB, 67 %, 77, 2460 MHz, 62.53 W, 0x0000000000000004
2026/09/25 10:26:20.781, 757 MiB, 65 %, 77, 2460 MHz, 61.40 W, 0x0000000000000000
2026/09/25 10:26:22.787, 757 MiB, 69 %, 78, 2460 MHz, 63.25 W, 0x0000000000000000
2026/09/25 10:26:24.794, 757 MiB, 65 %, 77, 2460 MHz, 63.39 W, 0x0000000000000000
2026/09/25 10:26:26.796, 757 MiB, 67 %, 77, 2430 MHz, 63.46 W, 0x0000000000000000
